Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194533,595174,-13,1,104.474,85.5811,-42.357,-42.386,-0.430463,-0.459586,-13,1,88.5525,-72.893,44.9329,-22.5648,-0.260559,2.58919,13,-1,69.388,60.8163,31.1451,12.085,0.17596,0.473295,13,-1,28.9499,-1.94927,-23.536,16.7435,0.660001,-1.65343
206859,750976,-13,1,121.339,-43.2074,25.0958,110.573,1.535,2.61539,13,-1,79.481,22.5881,-21.0226,73.2465,1.59928,-0.749515,-13,1,20.2991,1.15367,-6.9185,19.0485,1.72452,-1.40556,13,-1,12.5769,3.91629,-1.39853,11.869,1.77129,-0.34299
194533,436822,13,-1,63.4178,34.7467,27.3572,-45.4539,-0.900905,0.666969,-13,1,64.9105,-24.8386,-4.6184,-59.7919,-1.59654,-2.95776,-13,1,18.4204,-10.3309,-6.38373,-13.8499,-0.977291,-2.5881,13,-1,9.04196,-2.32288,-2.46188,-8.38386,-1.63863,-2.32715
200519,789260,13,-1,107.076,-85.3326,-60.3629,-23.2371,-0.220521,-2.52593,13,-1,194.591,80.6598,21.7429,175.747,1.4891,0.263304,-13,1,25.4114,-0.236357,24.0762,8.12432,0.331329,1.58061,-13,1,15.3111,-14.2547,5.28694,1.80915,0.118716,2.78643
206859,1003584,-13,1,69.7594,4.0853,68.4396,12.872,0.186658,1.51118,-13,1,63.1348,26.7392,-56.2712,-10.2257,-0.163406,-1.1272,13,-1,33.9265,-20.1186,-25.7112,-9.2289,-0.279052,-2.23477,13,-1,46.5562,3.54376,15.8966,43.6143,1.71135,1.35146
206859,1021844,-13,1,79.4605,-21.846,-35.937,-67.4185,-1.2506,-2.117,13,-1,44.7901,-11.3274,-26.9286,-33.9512,-0.991518,-1.96897,-13,1,25.5382,7.24352,-9.34768,-22.6349,-1.40452,-0.911549,13,-1,12.4593,-1.09266,-6.24446,-10.7254,-1.2967,-1.74402
200519,984428,13,-1,109.354,58.2298,13.0778,91.6322,1.21423,0.220924,13,-1,94.9813,-53.7298,-14.3196,77.0031,1.12912,-2.88114,-13,1,224.14,-3.71514,49.7102,218.526,2.18382,1.64539,-13,1,116.021,32.1439,6.31443,111.301,1.93721,0.193973
206859,829018,13,-1,48.4867,-18.5648,-31.5284,31.816,0.786077,-2.10296,-13,1,73.9852,14.3133,31.3047,65.49,1.3992,1.14195,13,-1,34.2339,-11.928,-5.1592,31.671,1.62357,-2.73336,-13,1,3.92372,-3.32012,0.89966,1.88463,0.523623,2.87698
200519,1328083,-13,1,108.803,43.8184,-11.613,-98.9104,-1.52217,-0.259069,13,-1,72.1908,-41.8027,-15.2691,-56.8409,-1.06448,-2.79138,-13,1,21.1141,7.89927,9.68148,-17.0196,-1.11575,0.886426,13,-1,7.08151,-4.59485,5.3871,-0.0562918,-0.00795017,2.27699
200519,34424,13,-1,121.478,-2.81089,-90.4137,-81.0831,-0.806165,-1.60188,13,-1,48.7124,2.37691,-47.3465,11.2047,0.234208,-1.52064,-13,1,56.6617,2.78958,15.3364,-54.4752,-1.96426,1.39087,-13,1,18.3119,3.87202,10.0811,14.7882,1.12006,1.20408
194533,60031,13,-1,54.3199,-38.9337,21.0019,31.5235,0.662963,2.6469,-13,1,22.5237,12.9492,-15.725,9.60985,0.455806,-0.881901,-13,1,21.0204,12.3214,-7.49683,15.2913,0.923316,-0.5466,13,-1,7.50337,5.71646,1.61369,4.58339,0.710364,0.27513
206859,526179,-13,1,194.865,-30.5624,-39.9623,-188.259,-2.03016,-2.22369,-13,1,90.2555,-6.94026,47.1296,-76.6595,-1.25386,1.717,13,-1,40.2053,38.0962,10.2898,7.69738,0.193845,0.263805,13,-1,176.767,-2.54321,32.4961,-173.735,-2.37519,1.6489
